,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
366,366,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,351,313.26513671875,38000.0,121.3030014038086,5960.0,125,5.65575221238938,1278.2,349.20714238123793,41930.0,686.0597185590626,0.018054203119975333,0
157,157,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,195,191.2184295654297,22916.0,119.84200286865234,8912.0,127,4.98095238095238,1150.6,194.62958642983304,23361.0,596.9273095267158,0.026048494917381558,0
479,479,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,39,35.006126403808594,4200.0,119.97899627685548,35562.0,125,4.188986784140969,950.8999999999999,34.95077765480282,4200.0,502.5904297782461,0.11966438804243955,0
531,531,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,345,335.8905334472656,40500.0,120.5749969482422,1465.0,125,5.740528634361233,1303.1,344.17833885715237,41331.0,692.1642225694027,0.017090474631343278,0
532,532,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,345,335.8905334472656,40500.0,120.5749969482422,1465.0,125,5.740528634361233,1303.1,344.20986883198003,41331.0,692.1642225694027,0.017090474631343278,0
533,533,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,345,335.8905334472656,40500.0,120.5749969482422,1465.0,125,5.740528634361233,1303.1,344.2041356796056,41331.0,692.1642225694027,0.017090474631343278,0
59,59,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,192,189.9492645263672,22762.0,119.83200073242188,2256.0,125,4.958590308370043,1125.6,189.64224418042758,22762.0,594.197797464379,0.026104814931217777,0
60,60,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,192,189.9492645263672,22762.0,119.83200073242188,2256.0,125,4.958590308370043,1125.6,189.64066418389194,22762.0,594.197797464379,0.026104814931217777,0
61,61,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,192,189.9492645263672,22762.0,119.83200073242188,2256.0,125,4.958590308370043,1125.6,189.64066418389194,22762.0,594.197797464379,0.026104814931217777,0
68,68,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,38,35.007293701171875,4200.0,119.9749984741211,8647.0,125,4.138053097345132,935.1999999999998,34.951068504094266,4200.0,496.4629140398143,0.1182054557237653,0
