,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
494,OzaBagExecutorMAXChunk,elecNormNew,4,2000,251,249.3558654785156,15001.0,60.15900039672852,5124.0,68,,0.0,249.37450618909665,15150.0,,,0
524,OzaBagExecutorMAXChunk,elecNormNew,4,2000,250,249.3558654785156,15001.0,60.15900039672852,5133.0,67,,0.0,249.3847957852318,15100.0,,,0
387,OzaBagExecutorMAXChunk,elecNormNew,4,2000,151,149.6475372314453,9001.0,60.14799880981445,8165.0,68,3.941935483870968,488.80000000000007,149.65672796720395,9090.0,237.09953079223635,0.02634146548075062,0
405,OzaBagExecutorMAXChunk,elecNormNew,4,2000,50,49.92513656616211,3001.0,60.11000061035156,20845.0,68,,0.0,49.917349961539095,3050.0,,,0
406,OzaBagExecutorMAXChunk,elecNormNew,4,2000,50,49.92513656616211,3001.0,60.11000061035156,20845.0,68,,0.0,49.91436261316369,3060.0,,,0
537,OzaBagExecutorMAXChunk,elecNormNew,4,500,1408,1234.7734375,39898.0,32.3120002746582,398.0,40,4.4716216216216225,330.90000000000003,1394.301187765401,45312.0,144.48703906600542,0.0036214105736128484,0
394,OzaBagExecutorMAXChunk,elecNormNew,4,500,782,777.174560546875,45237.0,58.20700073242188,523.0,66,4.131666666666666,495.79999999999995,775.9834226705256,45312.0,240.4919246927897,0.005316265992280428,0
235,OzaBagExecutorMAXChunk,elecNormNew,4,500,489,483.61419677734375,29101.0,60.17399978637695,757.0,68,,0.0,483.66630222310573,29197.0,,,0
503,OzaBagExecutorMAXChunk,elecNormNew,4,500,479,473.8154602050781,28500.0,60.150001525878906,777.0,144,,0.0,473.6467236467237,28595.0,,,0
254,OzaBagExecutorMAXChunk,elecNormNew,4,500,271,269.2895812988281,16201.0,60.1619987487793,1233.0,67,,0.0,269.3244519560571,16254.0,,,0
348,OzaBagExecutorMAXChunk,elecNormNew,4,500,266,264.2767028808594,15901.0,60.167999267578125,1233.0,68,,0.0,264.30192680461903,15953.0,,,0
433,OzaBagExecutorMAXChunk,elecNormNew,4,500,156,154.63780212402344,9301.0,60.14699935913086,1974.0,68,3.935483870967743,488.0000000000001,154.64293408906346,9331.0,236.70754586496668,0.02544968776098986,0
152,OzaBagExecutorMAXChunk,elecNormNew,4,500,54,49.74464416503906,3000.0,60.30799865722656,5748.0,68,,0.0,49.91653030528421,3020.0,,,0
144,OzaBagExecutorMAXChunk,elecNormNew,4,500,53,49.68285751342773,3000.0,60.382999420166016,5759.0,68,,0.0,49.91488025387171,3020.0,,,0
390,OzaBagExecutorMAXChunk,elecNormNew,4,50,1283,1224.3179931640625,43489.0,35.520999908447266,39.0,43,4.29875,343.9,1275.2807407615885,45312.0,152.69589835643768,0.0035111384110105472,0
481,OzaBagExecutorMAXChunk,elecNormNew,4,50,712,708.3097534179688,42500.0,60.00199890136719,53.0,68,4.144354838709678,513.9,707.876370887338,42600.0,248.66957447913387,0.0058510488112737385,0
250,OzaBagExecutorMAXChunk,elecNormNew,4,50,460,459.1300048828125,45312.0,98.69100189208984,71.0,107,,0.0,458.3219541799424,45312.0,,,0
498,OzaBagExecutorMAXChunk,elecNormNew,4,50,452,449.0768432617188,26950.0,60.012001037597656,72.0,67,,0.0,448.66592689511253,27090.0,,,0
499,OzaBagExecutorMAXChunk,elecNormNew,4,50,452,449.0768432617188,26950.0,60.012001037597656,72.0,67,,0.0,448.63167339614176,27000.0,,,0
283,OzaBagExecutorMAXChunk,elecNormNew,4,50,255,254.8234405517578,30549.0,119.88300323486328,118.0,128,,0.0,254.4774503107142,30549.0,,,0
551,OzaBagExecutorMAXChunk,elecNormNew,4,50,251,249.32272338867188,15001.0,60.16699981689453,50.0,68,,0.0,249.37036055143162,15050.0,,,0
552,OzaBagExecutorMAXChunk,elecNormNew,4,50,251,249.32272338867188,15001.0,60.16699981689453,50.0,68,,0.0,249.34557142383778,15050.0,,,0
452,OzaBagExecutorMAXChunk,elecNormNew,4,50,142,139.72093200683594,8401.0,60.12699890136719,208.0,68,3.9032258064516134,484.00000000000006,139.68906420923526,8428.0,234.6892537763042,0.027935871179181553,0
204,OzaBagExecutorMAXChunk,elecNormNew,4,50,51,49.9970817565918,6000.0,120.00700378417967,456.0,128,,0.0,49.92552775443297,6000.0,,,0
187,OzaBagExecutorMAXChunk,elecNormNew,4,50,50,49.92347717285156,3001.0,60.11199951171875,480.0,68,,0.0,49.914597947034146,3010.0,,,0
188,OzaBagExecutorMAXChunk,elecNormNew,4,50,50,49.92347717285156,3001.0,60.11199951171875,480.0,68,,0.0,49.91542569069019,3010.0,,,0
470,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1160,967.5056762695312,37903.0,39.17599868774414,1992.0,48,4.461250000000001,356.90000000000003,1151.1317734928741,45312.0,174.77392414569857,0.0046110841924306405,0
127,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,644,597.470703125,36000.0,60.25400161743164,2700.0,68,4.180000000000001,522.5000000000001,638.1237888599964,38528.0,251.8617267608643,0.006996159076690675,0
59,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,390,377.8128662109375,22733.0,60.16999816894531,3831.0,69,,0.0,388.91895881513557,23712.0,,,0
527,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,386,378.5688171386719,22780.0,60.17399978637695,3830.0,138,,0.0,383.92298831660355,23331.0,,,0
111,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,216,214.4875946044922,12901.0,60.14799880981445,5999.0,68,,0.0,214.49903186636473,13072.0,,,0
400,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,214,209.4929351806641,12601.0,60.150001525878906,6297.0,68,,0.0,209.50398890045093,12684.0,,,0
285,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,128,124.72357177734376,7501.0,60.14099884033203,9984.0,68,3.980645161290323,493.6,124.72715933894605,7600.0,239.39997602893462,0.031915741371675056,0
369,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,43,39.95074844360352,2401.0,60.0989990234375,27354.0,67,,0.0,39.93541797093809,2424.0,,,0
396,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,42,39.94675827026367,2401.0,60.10499954223633,28007.0,68,,0.0,39.93410214168039,2424.0,,,0
407,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1213,1112.4342041015625,42040.0,37.79100036621094,435.0,45,4.473493975903614,371.29999999999995,1200.9541478929234,45312.0,169.0578124816159,0.004021356148468504,0
330,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,674,664.2311401367188,40000.0,60.220001220703125,625.0,68,4.1782258064516125,518.0999999999999,668.0690363401463,40334.0,251.6127631648894,0.006290319079122235,0
22,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,411,407.72174072265625,24500.0,60.09000015258789,907.0,137,,0.0,408.73292792343733,24600.0,,,0
217,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,374,368.94671630859375,22201.0,60.17399978637695,986.0,68,,0.0,368.97980748592465,22348.0,,,0
327,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,228,224.21897888183597,13500.0,60.20899963378906,1469.0,68,,0.0,224.4221688343965,13545.0,,,0
265,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,208,204.5189971923828,12301.0,60.14599990844727,1588.0,68,,0.0,204.5124207188161,12382.0,,,0
385,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,134,129.7679443359375,7801.0,60.1150016784668,2394.0,68,3.9427419354838715,488.9000000000001,129.72202423378474,7826.0,237.01793806937437,0.03038301987814054,0
125,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,45,44.935035705566406,2701.0,60.10900115966797,6346.0,67,,0.0,44.924877274755794,2718.0,,,0
371,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,41,39.94609451293945,2401.0,60.10599899291992,7128.0,68,,0.0,39.93541797093809,2424.0,,,0
376,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1060,1034.061279296875,44324.0,42.86399841308594,46.0,51,4.373118279569892,406.7,1054.3804537521814,45312.0,187.44933499572096,0.00422907081932409,0
126,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,589,583.051513671875,35000.0,60.02899932861328,73.0,68,4.333064516129031,537.2999999999998,583.3859654954625,35100.0,260.10952692954766,0.007431700769415647,0
101,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,382,379.167236328125,45312.0,119.50399780273438,89.0,127,,0.0,378.58115616305594,45312.0,,,0
418,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,380,379.1034851074219,22750.0,60.0099983215332,94.0,68,,0.0,378.923655397459,22876.0,,,0
419,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,380,379.1034851074219,22750.0,60.0099983215332,94.0,68,,0.0,378.8859996356228,22876.0,,,0
548,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,212,209.8738555908203,25158.0,119.87200164794922,143.0,127,,0.0,209.5958544042789,25158.0,,,0
286,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,211,209.50338745117188,12601.0,60.14699935913086,152.0,68,,0.0,209.50928887489434,12642.0,,,0
287,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,211,209.50338745117188,12601.0,60.14699935913086,152.0,68,,0.0,209.49540144171016,12642.0,,,0
116,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,117,114.754638671875,6901.0,60.137001037597656,262.0,67,3.880487804878049,477.30000000000007,114.75600053043362,6923.0,233.3608991483363,0.03381551936651736,0
483,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,42,39.94476318359375,2401.0,60.108001708984375,688.0,128,,0.0,39.942416349762425,4800.0,,,0
484,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,42,39.94476318359375,2401.0,60.108001708984375,688.0,128,,0.0,39.934989551892265,2408.0,,,0
485,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,42,39.94476318359375,2401.0,60.108001708984375,688.0,128,,0.0,39.933665008291875,2408.0,,,0
169,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,1327,1186.9708251953125,40795.0,34.36899948120117,1616.0,42,4.438961038961039,341.8,1319.7798036874144,45312.0,152.56264964512417,0.003739738929896413,0
216,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,737,677.39892578125,40648.0,60.00600051879883,2355.0,68,4.160483870967743,515.9000000000002,732.5742574257425,44394.0,249.65399731974458,0.006141851931700073,0
539,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,419,410.4175109863281,24694.0,60.167999267578125,3472.0,68,,0.0,413.8526856240126,25149.0,,,0
504,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,416,406.4193420410156,24451.0,60.1619987487793,3525.0,138,,0.0,413.80790438141776,25066.0,,,0
8,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,233,229.44688415527344,13801.0,60.14899826049805,5854.0,69,,0.0,229.44149110717333,13984.0,,,0
351,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,231,229.41635131835935,13801.0,60.15700149536133,5691.0,69,,0.0,229.42080648853712,14030.0,,,0
365,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,147,144.68629455566406,8701.0,60.137001037597656,8366.0,68,3.9416,492.70000000000005,144.67663335260593,8758.0,237.03600328979493,0.02724238631074531,0
456,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,46,44.94176483154297,2701.0,60.09999847412109,23419.0,69,,0.0,44.92659053833606,2754.0,,,0
457,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,46,44.94176483154297,2701.0,60.09999847412109,23419.0,69,,0.0,44.925124792013314,2754.0,,,0
489,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,1418,1263.596435546875,40799.0,32.28799819946289,389.0,40,4.462121212121212,294.5,1403.0220460738171,45312.0,144.07296166275486,0.003531286591895754,0
359,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,787,775.236572265625,44811.0,57.803001403808594,537.0,66,4.20495867768595,508.79999999999995,781.3760993274702,45312.0,243.05923234923813,0.005424097483859725,0
