,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC,tput
87,LBagExecutorMAXChunk,covtypeNorm,4,2000,66,65.00162506103516,7800.0,119.99700164794922,22060.0,132,3.9751879699248125,1057.4,64.89940592082272,7800.0,477.0106373779756,0.061155209920253285,90,65.00162414794224
11,LBagExecutorMAXChunk,covtypeNorm,4,2000,36,33.3155632019043,4000.0,120.06400299072266,36479.0,125,3.8257936507936505,964.0999999999999,34.953104584682215,4200.0,459.3401003307766,0.11483502508269415,50,33.3155642021121
44,LBagExecutorMAXChunk,covtypeNorm,4,2000,7,5.002542972564697,600.0,119.93900299072266,65191.0,130,3.905725190839695,1023.3000000000001,4.9946307719201855,600.0,468.448785345063,0.780747975575105,10,5.002542834597436
139,LBagExecutorMAXChunk,covtypeNorm,4,500,66,65.0,7800.0,120.0,5279.0,127,3.8656250000000005,989.6000000000001,64.89724602712373,7800.0,463.87500000000006,0.059471153846153854,90,65.0
65,LBagExecutorMAXChunk,covtypeNorm,4,500,36,35.009334564208984,4200.0,119.96800231933594,8705.0,125,3.8984126984126988,982.4000000000001,34.953104584682215,4200.0,467.6847836449033,0.11135351991545317,50,35.0093351460522
150,LBagExecutorMAXChunk,covtypeNorm,4,500,7,5.002668380737305,600.0,119.93599700927734,47589.0,126,3.9704724409448824,1008.5000000000001,4.994713927759788,600.0,476.2025708025835,0.7936709513376392,10,5.002668214394287
29,LBagExecutorMAXChunk,covtypeNorm,4,50,66,64.91938781738281,7800.0,120.14900207519533,545.0,126,3.882677165354331,986.2,64.89940592082272,7800.0,466.499786797471,0.059807664974034745,90,64.91939063395937
106,LBagExecutorMAXChunk,covtypeNorm,4,50,36,34.96590805053711,4200.0,120.11699676513672,873.0,125,4.278968253968253,1078.3,34.954559073204834,4200.0,513.9768159200274,0.1223754323619113,50,34.965909181131195
152,LBagExecutorMAXChunk,covtypeNorm,4,50,7,4.999499797821045,600.0,120.01200103759766,5183.0,126,4.284645669291338,1088.3,4.994755506717946,600.0,514.2089005087304,0.8570148341812173,10,4.99950000677041
6,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,112,109.9853057861328,13178.0,119.81600189208984,13173.0,126,3.883070866141732,986.3,109.8139213186337,13178.0,465.25402624475674,0.03530535940543002,90,109.9853090730613
28,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,62,60.00199890136719,7200.0,119.99600219726562,21243.0,127,3.8285156250000005,980.1000000000001,59.90564860344957,7200.0,459.40656934976585,0.06380646796524525,50,60.00199896796285
51,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,2000,12,10.004669189453123,1200.0,119.94400024414062,71651.0,136,4.176277372262773,1144.3,9.98892893709472,1200.0,500.91941415828506,0.4174328451319042,10,10.004668825097161
23,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,112,109.9853057861328,13178.0,119.81600189208984,3213.0,125,3.8369047619047625,966.9000000000001,109.81300623312556,13178.0,459.72258821214956,0.034885611489767,90,109.9853090730613
119,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,62,60.0004997253418,7200.0,119.9990005493164,5158.0,124,4.0164,1004.1,59.90764238465699,7200.0,481.9639858062744,0.06693944247309366,50,60.00049972950392
136,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,500,12,10.004669189453123,1200.0,119.94400024414062,26232.0,125,3.9503968253968256,995.5,9.989012086704625,1200.0,473.8263977898492,0.394855331491541,10,10.004668825097161
123,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,112,109.97980499267578,13178.0,119.8219985961914,316.0,124,3.998,999.5,109.80751604032997,13178.0,479.0483503875733,0.03635212857698993,90,109.97980466350583
105,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,62,59.967018127441406,7200.0,120.06600189208984,501.0,123,4.196774193548387,1040.8,,,503.8898982632544,0.06998470809211867,50,59.967017195017874
129,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,50,12,9.996251106262209,1200.0,120.04499816894533,2627.0,124,3.9536000000000002,988.4000000000001,9.98892893709472,1200.0,474.60990476074227,0.39550825396728523,10,9.996251558196368
3,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,2000,126,124.79376220703124,14976.0,120.00599670410156,10794.0,125,4.029761904761905,1015.5,124.79201331114808,15000.0,483.5955938611712,0.032291372453336756,90,124.79376373937612
7,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,2000,70,69.89108276367188,8387.0,120.0009994506836,17120.0,125,4.331349206349207,1091.5000000000002,69.88992337069116,8400.0,519.7662337318301,0.061972842939290576,50,69.891084560898
9,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,2000,14,10.004502296447754,1200.0,119.9459991455078,68421.0,132,4.2672932330827065,1135.1,9.988762642027718,1200.0,511.8447504889695,0.42653729207414126,10,10.004502097183474
154,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,500,126,124.98538970947266,14975.0,119.81400299072266,2580.0,125,3.953968253968254,996.4000000000001,124.78958684021933,14975.0,473.74076420617484,0.0316354433526661,90,124.98539090760144
118,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,500,70,70.00116729736328,8400.0,119.9980010986328,4265.0,125,4.137301587301587,1042.6,69.89224944876648,8400.0,496.46792041839103,0.059103323859332264,50,70.00116604522094
98,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,500,14,10.00458526611328,1200.0,119.94499969482422,25462.0,124,4.034800000000001,1008.7,9.988513209808719,1200.0,483.9540847686768,0.403295070640564,10,10.00458546044568
31,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,50,126,124.98330688476562,14975.0,119.81600189208984,197.0,123,3.9709677419354836,984.8,69.88992337069116,8400.0,475.78547848116966,0.031771985207423685,90,124.9833057648424
133,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,50,70,69.93275451660156,8392.0,120.0009994506836,426.0,124,4.0324,1008.1,,,483.8920301849365,0.05766110941193238,50,69.93275088053606
125,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,50,14,9.997584342956545,1200.0,120.02899932861328,2598.0,124,3.8548,963.7,9.988762642027718,1200.0,462.68778661193846,0.3855731555099487,10,9.997583973141866
82,OzaBagExecutorMAXChunk,GMSC,4,2000,985,983.1257934570312,117806.0,119.8280029296875,1367.0,125,4.0246031746031745,1014.2,981.5612528016397,117806.0,482.2601609971788,0.004093680805707509,90,983.1257896297082
13,OzaBagExecutorMAXChunk,GMSC,4,2000,547,544.4637451171875,65291.0,119.91799926757812,2207.0,126,3.8992125984251973,990.4000000000001,543.6250551609868,65291.0,467.5857735220842,0.007161565507069645,50,544.4637201986119
70,OzaBagExecutorMAXChunk,GMSC,4,2000,109,105.00174713134766,12600.0,119.9980010986328,10054.0,126,4.072047244094488,1034.3,104.83314058456956,12600.0,488.63752967053506,0.03878075632305834,10,105.00174906783141
