,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
91,OzaBagExecutorMAXChunk,GMSC,4,500,1019,1012.9165649414062,121394.0,119.84600067138672,320.0,126,,0.0,1011.3553998550374,121394.0,,,0
27,OzaBagExecutorMAXChunk,GMSC,4,500,566,564.4110717773438,67687.0,119.9250030517578,526.0,126,,0.0,563.5276781031196,67687.0,,,0
221,OzaBagExecutorMAXChunk,GMSC,4,500,113,109.98714447021484,13178.0,119.81400299072266,2413.0,125,,0.0,109.81575153540386,13178.0,,,0
123,OzaBagExecutorMAXChunk,GMSC,4,50,1019,1012.4181518554688,121394.0,119.90499877929688,31.0,126,,0.0,1011.422810627963,121394.0,,,0
124,OzaBagExecutorMAXChunk,GMSC,4,50,1019,1012.4181518554688,121394.0,119.90499877929688,31.0,126,,0.0,1011.3469741402293,121394.0,,,0
125,OzaBagExecutorMAXChunk,GMSC,4,50,1019,1012.4181518554688,121394.0,119.90499877929688,31.0,126,,0.0,1011.2711490240835,121394.0,,,0
182,OzaBagExecutorMAXChunk,GMSC,4,50,566,564.2557983398438,67687.0,119.95800018310548,51.0,125,,0.0,563.5136035166006,67687.0,,,0
183,OzaBagExecutorMAXChunk,GMSC,4,50,566,564.2557983398438,67687.0,119.95800018310548,51.0,125,,0.0,563.5136035166006,67687.0,,,0
184,OzaBagExecutorMAXChunk,GMSC,4,50,566,564.2557983398438,67687.0,119.95800018310548,51.0,125,,0.0,563.4948384948385,67687.0,,,0
54,OzaBagExecutorMAXChunk,GMSC,4,50,113,109.9862289428711,13178.0,119.81500244140624,233.0,126,,0.0,109.8197126384186,13200.0,,,0
55,OzaBagExecutorMAXChunk,GMSC,4,50,113,109.9862289428711,13178.0,119.81500244140624,233.0,126,,0.0,109.81879898168023,13200.0,,,0
56,OzaBagExecutorMAXChunk,GMSC,4,50,113,109.9862289428711,13178.0,119.81500244140624,233.0,126,,0.0,109.81483641939302,13178.0,,,0
209,OzaBagAdwinExecutorMAXChunk,GMSC,4,2000,824,815.0094604492188,98000.0,120.24400329589844,1619.0,126,3.8812785388127864,850.0000000000002,817.4820461183833,98236.0,466.7004694133046,0.004762249687890863,0
143,OzaBagAdwinExecutorMAXChunk,GMSC,4,2000,457,454.63568115234375,54509.0,119.89600372314452,2605.0,125,4.198245614035088,957.1999999999999,453.9012407361146,54509.0,503.352871771026,0.009234307578033462,0
63,OzaBagAdwinExecutorMAXChunk,GMSC,4,2000,91,89.85758209228516,10783.0,120.0009994506836,11598.0,126,4.033333333333333,919.5999999999999,89.85697764391676,10800.0,484.00403111775717,0.04488584170618169,0
114,OzaBagAdwinExecutorMAXChunk,GMSC,4,500,824,818.65380859375,98236.0,119.99700164794922,394.0,126,,0.0,817.3868184352195,98236.0,,,0
5,OzaBagAdwinExecutorMAXChunk,GMSC,4,500,457,454.287109375,54509.0,119.98799896240234,649.0,125,,0.0,453.8710053456344,54509.0,,,0
231,OzaBagAdwinExecutorMAXChunk,GMSC,4,500,91,89.85608673095703,10783.0,120.00299835205078,2946.0,126,,0.0,89.85623003194888,10800.0,,,0
190,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,824,818.2515258789062,98200.0,120.01200103759766,37.0,126,,0.0,817.434429503395,98236.0,,,0
191,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,824,818.2515258789062,98200.0,120.01200103759766,37.0,126,,0.0,817.3868184352195,98236.0,,,0
192,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,824,818.2515258789062,98200.0,120.01200103759766,37.0,126,,0.0,817.4684408051859,98236.0,,,0
162,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,457,454.5068054199219,54509.0,119.93000030517578,63.0,125,,0.0,453.8558891608799,54509.0,,,0
